1000 top plays:
Rank | Name | PP | Speed | TextID | Text
1 | joshu#7412 | 649.8529 | 241.9 |  2390 | The best way to measure how much you've grown isn'…
2 | Izzy#9616 | 580.20465 | 232.79 |  926 | Tommy... the thing is you're using words, but the …
3 | Izzy#9616 | 578.12335 | 247.73 |  259 | We're not kids anymore. There's no such thing as g…
4 | Izzy#9616 | 568.5383 | 224.42 |  126 | This neighborhood is a lifeboat in a storm we can'…
5 | shaz#8698 | 554.52606 | 263.58 |  56 | I know sometimes it hurts more to hope and it hurt…
6 | joshu#7412 | 554.3888 | 272.08 |  845 | It is unusual to begin the day with cold apple pie…
7 | Izzy#9616 | 551.95593 | 238.11 |  139 | You don't cry when someone pushes you down. You ge…
8 | Izzy#9616 | 544.8956 | 231.96 |  73 | You step outside, you risk your life. You take a d…
9 | Izzy#9616 | 535.54504 | 233.2 |  48 | I don't know about you, but I'm feeling 22. Everyt…
10 | Izzy#9616 | 534.92773 | 212.26 |  1675 | Why do I feel so numb, is it something to do with …
11 | joshu#7412 | 533.1211 | 212.33 |  2161 | ...eventually a deep silence falls and we begin to…
12 | joshu#7412 | 531.2472 | 229.18 |  888 | One job forever? That's an insane choice to have t…
13 | joshu#7412 | 527.89276 | 207.56 |  1589 | Also large bugs, men with pointy teeth, and stop, …
14 | Izzy#9616 | 525.86176 | 191.7 |  112 | Atticus said to Jem one day, "I'd rather you shot …
15 | joshu#7412 | 520.04926 | 215.7 |  1876 | Strawberry blonde, your stranglehold on my heart i…
16 | joshu#7412 | 517.2357 | 226.93 |  1115 | We should strive to welcome change and challenges,…
17 | Izzy#9616 | 516.54266 | 233.59 |  156 | It bothered him a little to lie about small things…
18 | Izzy#9616 | 513.83923 | 207.14 |  132 | Making mistakes is part of learning to choose well…
19 | Izzy#9616 | 511.72275 | 232.34 |  726 | After so much careful work, it does seem as if not…
20 | joshu#7412 | 510.48697 | 249.61 |  1701 | I can hardly keep myself from screaming, have you …
21 | slekap#0975 | 506.0539 | 207.07 |  251 | You shout it out, but I can't hear a word you say.…
22 | joshu#7412 | 503.92996 | 228.38 |  135 | The world isn't fair? What a huge revelation! Some…
23 | joshu#7412 | 502.2907 | 203.83 |  137 | I walked up to Griz and poked him in the chest. "L…
24 | Izzy#9616 | 501.80777 | 206.47 |  51 | We're no strangers to love. You know the rules and…
25 | adeline#9262 | 501.0294 | 210.63 |  81 | We tend to think that we are happier if we take th…
26 | slekap#0975 | 500.1546 | 204.77 |  1503 | Gotta change my answering machine now that I'm alo…
27 | slekap#0975 | 498.48523 | 199.44 |  1612 | I see what's happening, yeah. You're face to face …
28 | slekap#0975 | 496.1544 | 209.09 |  114 | And my friend said, "I know you love her, but it's…
29 | Alternator#5442 | 493.65872 | 213.67 |  1668 | Oh, please let me hear your voice, the angel of sa…
30 | Izzy#9616 | 492.6424 | 179.68 |  86 | Life is a series of decisions. Whether you make th…
31 | Izzy#9616 | 490.60596 | 214.79 |  1664 | Even if we fell down on the ground, we strongly be…
32 | adeline#9262 | 489.89053 | 192.08 |  1261 | Buzz Lightyear Mission Log. Stardate 4072: My ship…
33 | Izzy#9616 | 487.2047 | 231.18 |  254 | Congratulations. The fact that you're reading this…
34 | joshu#7412 | 486.67996 | 207.95 |  54 | When the comet last came, my grandfather, Fire Lor…
35 | slekap#0975 | 486.3839 | 235.63 |  1305 | You know, just because you saved us doesn't mean y…
36 | Izzy#9616 | 484.13492 | 214.26 |  1794 | Alright, this next test may involve trace amounts …
37 | Izzy#9616 | 483.49005 | 205.81 |  107 | It was a dark and stormy night; the rain fell in t…
38 | Izzy#9616 | 482.99628 | 212.32 |  16 | This next test may involve trace amounts of time t…
39 | joshu#7412 | 482.99612 | 238.52 |  136 | Why do clothes never have enough pockets? There sh…
40 | joshu#7412 | 481.2668 | 222 |  68 | What's going on here? According to my illegal key …
41 | Izzy#9616 | 479.31497 | 216.43 |  41 | People are going to tell you who you are your whol…
42 | Izzy#9616 | 477.25876 | 222.31 |  100 | You choose a thankless job. You can't be upset whe…
43 | Izzy#9616 | 476.82404 | 193.98 |  1612 | I see what's happening, yeah. You're face to face …
44 | Izzy#9616 | 475.75595 | 201.19 |  29 | It is those who are successful, in other words, wh…
45 | chak#8878 | 475.69107 | 214.91 |  9 | Today is the big day! I have devised an ingenious …
46 | Izzy#9616 | 475.56125 | 231.03 |  39 | Only a true author could weave such a tale. Every …
47 | slekap#0975 | 475.51373 | 214.12 |  1865 | If you could save yourself, you'd save us all. Is …
48 | slekap#0975 | 475.32098 | 196.35 |  1582 | That's why I'm here, Mr. Freeman. I have recommend…
49 | joshu#7412 | 474.80972 | 202.17 |  2027 | First, let no one rule your mind or body. Take spe…
50 | joshu#7412 | 472.80707 | 232.81 |  153 | It's been a hard day's night, and I've been workin…
51 | Izzy#9616 | 471.70142 | 202.62 |  81 | We tend to think that we are happier if we take th…
52 | Izanagi#2022 | 471.34122 | 234.94 |  490 | Resulting text can then be pasted into other web s…
53 | Izzy#9616 | 469.88074 | 208.67 |  1398 | Hey Ferb, do you think we can get any more power? …
54 | slekap#0975 | 469.13034 | 207.66 |  108 | For instance, on the planet Earth, man had always …
55 | slekap#0975 | 467.7912 | 192.33 |  1589 | Also large bugs, men with pointy teeth, and stop, …
56 | Izzy#9616 | 467.30362 | 194.32 |  215 | It's no accident, I think, that tennis uses the la…
57 | Izzy#9616 | 465.7587 | 227.78 |  1032 | He had hoped to fly, keeping not far from the grou…
58 | Izzy#9616 | 465.36563 | 209.47 |  105 | Ever since the dawn of civilization, people have n…
59 | Izzy#9616 | 464.5808 | 220.75 |  75 | I know. I mean, I know, but I don't always know, y…
60 | Izzy#9616 | 464.5737 | 204.59 |  903 | It's the ship that made the Kessel run in less tha…
61 | joshu#7412 | 463.82098 | 179.49 |  2137 | My instinct was to say, with contrition: "I'm sorr…
62 | joshu#7412 | 463.1396 | 210.47 |  1865 | If you could save yourself, you'd save us all. Is …
63 | Adamsky#6420 | 462.88226 | 184.52 |  1638 | Yeah, I knew Lotso. He was a good toy. A friend. M…
64 | IZANAGI#6744 | 462.76416 | 185.76 |  2181 | One night, the girl dreamed about her own mother. …
65 | Izzy#9616 | 462.57455 | 218.85 |  888 | One job forever? That's an insane choice to have t…
66 | IZANAGI#6744 | 462.52817 | 203.64 |  831 | Far away far away never getting close, guess it's …
67 | IZANAGI#6744 | 462.35538 | 194.57 |  1370 | If you accept, your payment will be triple your cu…
68 | slekap#0975 | 462.2799 | 184.67 |  213 | I don't know how much you understand about what is…
69 | Izzy#9616 | 462.113 | 207.79 |  1803 | Remember before when I was talking about smelly ga…
70 | Izzy#9616 | 461.0865 | 189.01 |  964 | It's all meaningless. No matter what dreams or hop…
71 | joshu#7412 | 460.70215 | 227.67 |  2358 | According to all known laws of aviation, there is …
