PPv2 Leaderboard:
Rank | Name | Total PP | Top Play
1 | Izzy#9616 | 14699.844953569942 | 551.6203
2 | joshu#7412 | 13716.79062906037 | 667.9584
3 | slekap#0975 | 12936.301199789601 | 527.86145
4 | Adamsky#6420 | 12495.694588543936 | 448.7818
5 | flaneur#8184 | 12473.210293215274 | 459.27042
6 | Izanagi#2022 | 11911.370602452022 | 497.9174
7 | IZANAGI#6744 | 11727.222362165021 | 464.9559
8 | shaz#8698 | 11114.468789853661 | 502.9641
9 | Vielle#4742 | 11104.462457348387 | 419.2639
10 | adeline#9262 | 10988.643083022489 | 478.43063
11 | oats#8312 | 10339.873528544838 | 375.67188
12 | stuckbreaker#7886 | 10136.285768165191 | 389.49905
13 | Edwin#0838 | 9788.880249260572 | 374.67917
14 | Jashe#4682 | 9758.249040987512 | 455.4647
15 | Jisoo#7990 | 9652.185685666564 | 355.81143
16 | carlibou#0015 | 9625.05369119141 | 399.21652
17 | dinkD#5956 | 9585.155826273973 | 370.39673
18 | vsk#5793 | 9554.77976372365 | 375.4556
19 | GNiK#6456 | 9534.774843948257 | 386.67175
20 | nimbu#6673 | 9410.195082858934 | 360.21567
21 | MAGNETLOVER69#7339 | 9382.063399363862 | 357.10144
22 | kudo#1118 | 9338.719357510208 | 351.35968
23 | Vector#0159 | 9296.541335525038 | 378.56094
24 | Popcorn#9648 | 9038.761889654088 | 354.58685
25 | Darth Toto#6937 | 9035.051216180644 | 327.27347
26 | Epzilon#8492 | 9010.313719437438 | 337.1736
27 | Aevistar#1804 | 8986.63687145168 | 368.81876
28 | jennocide#4578 | 8928.657758207157 | 329.10043
29 | StyleZ521#1111 | 8898.171602251392 | 351.1931
30 | Octahedron#5586 | 8842.32255255396 | 344.61362
31 | Veirt#8217 | 8809.61286340072 | 318.7199
32 | b1ack#6423 | 8797.215559727034 | 333.21936
33 | sleeping#9869 | 8774.60464568333 | 347.91714
34 | dubs#0831 | 8766.152850027525 | 322.02234
35 | thatrando#8651 | 8585.64880743915 | 345.2838
36 | Disturbed#6190 | 8576.51238948734 | 298.33835
37 | god#9475 | 8550.963545628376 | 311.10922
38 | mcaso#6376 | 8506.669465521565 | 371.59622
39 | fenno#2900 | 8455.861811523917 | 383.90695
40 | DrLawL#5025 | 8437.114036942834 | 325.63254
41 | afk top#7535 | 8421.504882229585 | 352.8585
42 | andrea#5945 | 8381.179370795051 | 332.52078
43 | relative#9288 | 8290.473693228249 | 376.4852
44 | SkylaMeowz#8247 | 8289.45701846862 | 289.1239
45 | Lithox#2736 | 8276.328749859304 | 310.10596
46 | Syndric#8071 | 8168.133443783973 | 287.53638
47 | Conspyre#131 | 8165.049468083252 | 371.47095
48 | skippi#3908 | 8120.051969609584 | 299.055
49 | zetria#9329 | 8110.729414661887 | 317.32095
50 | Berny#2774 | 8070.462003539261 | 298.21866
51 | aidan#4405 | 8043.913004912995 | 297.97507
52 | Dan#436 | 8037.63569866428 | 318.51123
